reactor_id,feedstock,day,daily_methane_yield_ml_g
Reactor_A,Food Waste,1,5.2
Reactor_A,Food Waste,2,10.4
Reactor_A,Food Waste,3,15.8
Reactor_A,Food Waste,4,20.1
Reactor_A,Food Waste,5,24.3
Reactor_A,Food Waste,6,28.0
Reactor_B,Manure,1,3.1
Reactor_B,Manure,2,6.5
Reactor_B,Manure,3,9.8
Reactor_B,Manure,4,12.4
Reactor_B,Manure,5,15.1
Reactor_B,Manure,6,17.5
Reactor_C,Market Waste,1,4.2
Reactor_C,Market Waste,2,8.9
Reactor_C,Market Waste,3,12.5
Reactor_C,Market Waste,4,16.2
Reactor_C,Market Waste,5,19.5
Reactor_C,Market Waste,6,22.4
Reactor_D,Co-digested,1,8.5
Reactor_D,Co-digested,2,16.2
Reactor_D,Co-digested,3,24.1
Reactor_D,Co-digested,4,30.8
Reactor_D,Co-digested,5,37.2
Reactor_D,Co-digested,6,42.5
